Port Name,In FreeBSD Security,In BlackArch Porting
gerix-wifi-cracker,NÃO,SIM
gethsploit,NÃO,SIM
getsids,NÃO,SIM
getsploit,NÃO,SIM
gf,NÃO,SIM
gg-images,NÃO,SIM
gggooglescan,NÃO,SIM
gh-dork,NÃO,SIM
ghauri,NÃO,SIM
ghettotooth,NÃO,SIM
ghidriff,NÃO,SIM
ghost,NÃO,SIM
ghost-phisher,NÃO,SIM
ghost-py,NÃO,SIM
ghostdelivery,NÃO,SIM
ghostpack,NÃO,SIM
ghunt,NÃO,SIM
gibberish-detector,NÃO,SIM
girsh,NÃO,SIM
giskismet,NÃO,SIM
git-dump,NÃO,SIM
git-dumper,NÃO,SIM
git-hound,NÃO,SIM
