Port Name,In FreeBSD Security,In BlackArch Porting
chisel,NÃO,SIM
chkrootkit,SIM,SIM
chntpw,SIM,NÃO
chopshop,NÃO,SIM
choronzon,NÃO,SIM
chownat,NÃO,SIM
chrome-decode,NÃO,SIM
chromedriver,NÃO,SIM
chromefreak,NÃO,SIM
chromensics,NÃO,SIM
chronoleak,NÃO,SIM
chroot_safe,SIM,NÃO
chrootuid,SIM,NÃO
chw00t,NÃO,SIM
cidr2range,NÃO,SIM
cintruder,NÃO,SIM
cipherscan,NÃO,SIM
ciphertest,NÃO,SIM
ciphr,NÃO,SIM
cirt-fuzzer,NÃO,SIM
cisco-auditing-tool,NÃO,SIM
cisco-global-exploiter,NÃO,SIM
cisco-ocs,NÃO,SIM
cisco-router-config,NÃO,SIM
cisco-scanner,NÃO,SIM
cisco-snmp-enumeration,NÃO,SIM
cisco-snmp-slap,NÃO,SIM
cisco-torch,NÃO,SIM
cisco5crack,NÃO,SIM
cisco7crack,NÃO,SIM
ciscos,NÃO,SIM
citadel,NÃO,SIM
cjexploiter,NÃO,SIM
ckbcomp,NÃO,SIM
ckpass,SIM,NÃO
cksfv,SIM,NÃO
cl-md5,SIM,NÃO
cl-md5-ccl,SIM,NÃO
cl-md5-clisp,SIM,NÃO
cl-md5-sbcl,SIM,NÃO
clair,NÃO,SIM
clairvoyance,NÃO,SIM
clamassassin,SIM,NÃO
clamav,SIM,NÃO
clamav-lts,SIM,NÃO
clamav-unofficial-sigs,SIM,NÃO
clamd-stream-client,SIM,NÃO
clamscanlogparser,NÃO,SIM
clamsmtp,SIM,NÃO
cleverhans,NÃO,SIM
climber,NÃO,SIM
cloak,SIM,NÃO
cloakify,NÃO,SIM
cloud-buster,NÃO,SIM
cloud_enum,NÃO,SIM
cloudfail,NÃO,SIM
cloudflare-enum,NÃO,SIM
cloudget,NÃO,SIM
cloudlist,NÃO,SIM
cloudmare,NÃO,SIM
cloudsploit,NÃO,SIM
cloudunflare,NÃO,SIM
clusterd,NÃO,SIM
cminer,NÃO,SIM
cmospwd,NÃO,SIM
cms-explorer,NÃO,SIM
cms-few,NÃO,SIM
cmseek,NÃO,SIM
cmsfuzz,NÃO,SIM
cmsmap,NÃO,SIM
cmsscan,NÃO,SIM
cmsscanner,NÃO,SIM
cnamulator,NÃO,SIM
cntlm,NÃO,SIM
codeql,NÃO,SIM
codetective,NÃO,SIM
coercer,NÃO,SIM
comission,NÃO,SIM
commentor,NÃO,SIM
commix,NÃO,SIM
commonspeak,NÃO,SIM
complemento,NÃO,SIM
compp,NÃO,SIM
configpush,NÃO,SIM
conn,NÃO,SIM
conpass,NÃO,SIM
conpot,NÃO,SIM
conscan,NÃO,SIM
cook,NÃO,SIM
cookie-cadger,NÃO,SIM
cookiejar,NÃO,SIM
cops,SIM,NÃO
corscanner,NÃO,SIM
corstest,NÃO,SIM
corsy,NÃO,SIM
cosign,SIM,NÃO
cottontail,NÃO,SIM
country-ip-blocks,NÃO,SIM
courier-authlib,SIM,NÃO
courier-authlib-base,SIM,NÃO
courierpassd,SIM,NÃO
courierpasswd,SIM,NÃO
courieruserinfo,SIM,NÃO
cower,NÃO,SIM
cowrie,SIM,NÃO
cpfinder,NÃO,SIM
cpfx,SIM,NÃO
cpp2il,NÃO,SIM
cpptest,NÃO,SIM
cpyrit-cuda,NÃO,SIM
cpyrit-opencl,NÃO,SIM
cr3dov3r,NÃO,SIM
crabstick,NÃO,SIM
cracken,NÃO,SIM
crackle,NÃO,SIM
cracklib,SIM,NÃO
crackmapexec,NÃO,SIM
crackmapexec-pingcastle,NÃO,SIM
crackpkcs12,SIM,SIM
crackq,NÃO,SIM
crackql,NÃO,SIM
crackserver,NÃO,SIM
crawlic,NÃO,SIM
creak,NÃO,SIM
create-cert,SIM,NÃO
create_ap,NÃO,SIM
creddump,NÃO,SIM
credmap,NÃO,SIM
credmaster,NÃO,SIM
creds,NÃO,SIM
credsniper,NÃO,SIM
cribdrag,NÃO,SIM
crlf-injector,NÃO,SIM
crlfuzz,SIM,SIM
crosslinked,NÃO,SIM
crowbar,NÃO,SIM
crowdsec,SIM,NÃO
crowdsec-blocklist-mirror,SIM,NÃO
crowdsec-firewall-bouncer,SIM,NÃO
crozono,NÃO,SIM
crunch,NÃO,SIM
crypthook,NÃO,SIM
cryptlib,SIM,NÃO
cryptohazemultiforcer,NÃO,SIM
cryptonark,NÃO,SIM
cryptopp,SIM,NÃO
csdr,NÃO,SIM
csrftester,NÃO,SIM
ct-exposer,NÃO,SIM
ct-submit,SIM,NÃO
ctf-party,NÃO,SIM
ctunnel,NÃO,SIM
ctypes-sh,NÃO,SIM
cubicsdr,NÃO,SIM
cuckoo,NÃO,SIM
cudahashcat,NÃO,SIM
cupp,NÃO,SIM
cutycapt,NÃO,SIM
cve-api,NÃO,SIM
cve-search,NÃO,SIM
cvechecker,SIM,SIM
cvemap,NÃO,SIM
cvm,SIM,NÃO
cyberchef,SIM,NÃO
cybercrowl,NÃO,SIM
cyberscan,NÃO,SIM
cymothoa,NÃO,SIM
cyrus-sasl2,SIM,NÃO
cyrus-sasl2-gssapi,SIM,NÃO
cyrus-sasl2-ldapdb,SIM,NÃO
cyrus-sasl2-saslauthd,SIM,NÃO
cyrus-sasl2-sql,SIM,NÃO
cyrus-sasl2-srp,SIM,NÃO
cyrus-sasl2-xoauth2,SIM,NÃO
cython0,NÃO,SIM
cython2,NÃO,SIM
d-tect,NÃO,SIM
d0_blind_id,SIM,NÃO
dagon,NÃO,SIM
dalfox,NÃO,SIM
damm,NÃO,SIM
daredevil,NÃO,SIM
dark-dork-searcher,NÃO,SIM
darkarmour,NÃO,SIM
darkbing,NÃO,SIM
darkd0rk3r,NÃO,SIM
darkdump,NÃO,SIM
darkjumper,NÃO,SIM
darkmysqli,NÃO,SIM
darkscrape,NÃO,SIM
darkspiritz,NÃO,SIM
datajackproxy,NÃO,SIM
datasploit,NÃO,SIM
davoset,NÃO,SIM
davscan,NÃO,SIM
davtest,NÃO,SIM
dawnscanner,NÃO,SIM
dbd,NÃO,SIM
dbpwaudit,NÃO,SIM
dbusmap,NÃO,SIM
dc3dd,NÃO,SIM
dcdetector,NÃO,SIM
dcfldd,NÃO,SIM
dcrawl,NÃO,SIM
ddosify,NÃO,SIM
de4dot,NÃO,SIM
de4dotex,NÃO,SIM
deathstar,NÃO,SIM
debian-keyring,SIM,NÃO
debinject,NÃO,SIM
deblaze,NÃO,SIM
decodify,NÃO,SIM
deen,NÃO,SIM
deepce,NÃO,SIM
dehydrated,SIM,NÃO
delldrac,NÃO,SIM
delorean,NÃO,SIM
demiguise,NÃO,SIM
densityscout,NÃO,SIM
denyhosts,SIM,NÃO
depant,NÃO,SIM
depdep,NÃO,SIM
dependency-check,NÃO,SIM
depix,NÃO,SIM
der-ascii,NÃO,SIM
deskhpsdr,NÃO,SIM
destroy,SIM,NÃO
det,NÃO,SIM
detect-it-easy,NÃO,SIM
detect-secrets,NÃO,SIM
detect-sniffer,NÃO,SIM
detectem,NÃO,SIM
devaudit,NÃO,SIM
device-pharmer,NÃO,SIM
dex2jar,NÃO,SIM
dexpatcher,NÃO,SIM
dff,NÃO,SIM
dff-scanner,NÃO,SIM
dfir-ntfs,NÃO,SIM
dftimewolf,NÃO,SIM
dga-detection,NÃO,SIM
dharma,NÃO,SIM
dhcdrop,NÃO,SIM
dhcpf,NÃO,SIM
dhcpig,NÃO,SIM
dhcpoptinj,NÃO,SIM
didier-stevens-suite,NÃO,SIM
dietlibc,NÃO,SIM
diffcode,SIM,NÃO
digestpp,SIM,NÃO
dinouml,NÃO,SIM
dirb,NÃO,SIM
dirble,NÃO,SIM
dirbuster,SIM,SIM
dirbuster-ng,NÃO,SIM
directorytraversalscan,NÃO,SIM
dirhunt,NÃO,SIM
dirscanner,NÃO,SIM
dirscraper,NÃO,SIM
dirsearch,NÃO,SIM
dirstalk,NÃO,SIM
disitool,NÃO,SIM
dislocker,NÃO,SIM
dissector,NÃO,SIM
dissy,NÃO,SIM
distcache,SIM,NÃO
diswall,SIM,NÃO
dizzy,NÃO,SIM
dkmc,NÃO,SIM
dmde,NÃO,SIM
dmg2img,NÃO,SIM
dmitry,NÃO,SIM
dnmap,NÃO,SIM
dns-parallel-prober,NÃO,SIM
dns-reverse-proxy,NÃO,SIM
dns-spoof,NÃO,SIM
dns2geoip,NÃO,SIM
dns2tcp,NÃO,SIM
dnsa,NÃO,SIM
dnsbf,NÃO,SIM
dnsbrute,NÃO,SIM
dnscan,NÃO,SIM
dnschef,NÃO,SIM
dnscobra,NÃO,SIM
dnsdiag,NÃO,SIM
dnsdrdos,NÃO,SIM
dnsenum,NÃO,SIM
dnsfilexfer,NÃO,SIM
dnsgen,NÃO,SIM
dnsgoblin,NÃO,SIM
dnsgrep,NÃO,SIM
dnsmap,NÃO,SIM
dnsobserver,NÃO,SIM
dnspredict,NÃO,SIM
dnsprobe,NÃO,SIM
dnspy,NÃO,SIM
dnsrecon,NÃO,SIM
dnssearch,NÃO,SIM
dnsspider,NÃO,SIM
dnsteal,NÃO,SIM
dnstracer,NÃO,SIM
dnstwist,NÃO,SIM
dnsvalidator,NÃO,SIM
dnswalk,NÃO,SIM
dnswatch,NÃO,SIM
dnsx,NÃO,SIM
doas,SIM,NÃO
docem,NÃO,SIM
dockerscan,NÃO,SIM
domain-analyzer,NÃO,SIM
domain-stats,NÃO,SIM
domained,NÃO,SIM
domainhunter,NÃO,SIM
domato,NÃO,SIM
domi-owned,NÃO,SIM
domlink,NÃO,SIM
donpapi,NÃO,SIM
dontgo403,NÃO,SIM
donut,NÃO,SIM
doona,NÃO,SIM
doork,NÃO,SIM
doozer,NÃO,SIM
dorkbot,NÃO,SIM
dorkme,NÃO,SIM
dorknet,NÃO,SIM
